
10,000 hands checked | 951 dead | 2.9s taken
20,000 hands checked | 1,485 dead | 6.0s taken
30,000 hands checked | 1,923 dead | 9.1s taken
40,000 hands checked | 2,598 dead | 12.3s taken
50,000 hands checked | 3,837 dead | 15.5s taken
60,000 hands checked | 4,539 dead | 18.8s taken
70,000 hands checked | 4,978 dead | 21.9s taken
80,000 hands checked | 5,785 dead | 24.9s taken
90,000 hands checked | 7,128 dead | 28.3s taken
100,000 hands checked | 8,439 dead | 31.7s taken
110,000 hands checked | 10,198 dead | 35.0s taken
120,000 hands checked | 11,032 dead | 38.0s taken
130,000 hands checked | 12,402 dead | 41.3s taken
140,000 hands checked | 13,798 dead | 44.7s taken
150,000 hands checked | 15,683 dead | 48.2s taken
160,000 hands checked | 16,361 dead | 51.2s taken
170,000 hands checked | 17,667 dead | 54.6s taken
180,000 hands checked | 19,448 dead | 58.1s taken
190,000 hands checked | 21,343 dead | 61.4s taken
200,000 hands checked | 22,449 dead | 64.3s taken
210,000 hands checked | 22,449 dead | 66.8s taken
220,000 hands checked | 22,449 dead | 69.5s taken
230,000 hands checked | 22,449 dead | 72.0s taken
240,000 hands checked | 22,449 dead | 74.6s taken
250,000 hands checked | 22,461 dead | 77.3s taken
260,000 hands checked | 22,461 dead | 80.1s taken
270,000 hands checked | 22,469 dead | 82.7s taken
280,000 hands checked | 22,475 dead | 85.5s taken
290,000 hands checked | 22,683 dead | 88.2s taken
300,000 hands checked | 22,950 dead | 90.5s taken
310,000 hands checked | 23,185 dead | 92.8s taken
320,000 hands checked | 23,627 dead | 95.3s taken
330,000 hands checked | 24,328 dead | 97.9s taken
340,000 hands checked | 25,110 dead | 100.5s taken
350,000 hands checked | 25,778 dead | 103.2s taken
360,000 hands checked | 26,217 dead | 105.6s taken
370,000 hands checked | 26,217 dead | 108.1s taken
380,000 hands checked | 26,256 dead | 110.6s taken
390,000 hands checked | 26,852 dead | 113.2s taken
400,000 hands checked | 28,137 dead | 116.1s taken
410,000 hands checked | 28,504 dead | 118.5s taken
420,000 hands checked | 29,112 dead | 120.8s taken
430,000 hands checked | 30,257 dead | 123.4s taken
440,000 hands checked | 31,398 dead | 126.2s taken
450,000 hands checked | 32,969 dead | 129.0s taken
460,000 hands checked | 34,852 dead | 131.9s taken
470,000 hands checked | 36,765 dead | 135.0s taken
480,000 hands checked | 37,374 dead | 137.4s taken
490,000 hands checked | 37,374 dead | 139.7s taken
500,000 hands checked | 37,506 dead | 142.1s taken
510,000 hands checked | 38,006 dead | 144.6s taken
520,000 hands checked | 39,002 dead | 147.3s taken
530,000 hands checked | 39,771 dead | 150.0s taken
540,000 hands checked | 41,182 dead | 152.8s taken
550,000 hands checked | 43,926 dead | 156.1s taken
560,000 hands checked | 44,445 dead | 158.6s taken
570,000 hands checked | 46,696 dead | 161.8s taken
580,000 hands checked | 47,886 dead | 164.5s taken
590,000 hands checked | 48,806 dead | 166.9s taken
600,000 hands checked | 50,035 dead | 169.6s taken
610,000 hands checked | 52,008 dead | 172.4s taken
620,000 hands checked | 53,701 dead | 175.2s taken
630,000 hands checked | 55,603 dead | 178.1s taken
